Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2009-08-03,86.0,110.0,86.0,95.1,95.85,13820975.0,13542.98
2009-08-04,95.5,110.5,95.25,105.5,106.5,6177244.0,6435.04
2009-08-05,105.0,115.3,105.0,108.2,107.6,4047884.0,4466.9
2009-08-06,101.1,107.4,98.2,100.55,99.8,2143254.0,2184.17
2009-08-07,95.1,102.5,95.1,101.9,100.65,1111332.0,1115.09
2009-08-10,103.0,120.8,102.2,118.45,119.3,4722884.0,5418.84
2009-08-11,122.95,128.5,113.3,122.0,121.3,7569851.0,9213.44
2009-08-12,119.7,125.5,101.55,103.9,103.6,3832015.0,4299.94
2009-08-13,103.9,108.8,98.5,99.85,100.15,3523902.0,3619.87
2009-08-14,101.4,108.0,101.4,103.2,103.15,2017788.0,2096.26
2009-08-17,101.9,107.8,101.0,102.95,102.2,1933517.0,2021.99
2009-08-18,103.8,106.25,102.0,105.7,105.65,1200733.0,1259.13
2009-08-19,106.9,108.0,97.1,99.0,99.0,1476845.0,1499.88
2009-08-20,101.8,101.85,90.7,91.0,92.15,2734084.0,2601.86
2009-08-21,92.0,94.35,87.35,91.95,91.5,1852810.0,1692.16
2009-08-24,93.0,96.0,91.6,91.75,92.45,677977.0,630.43
2009-08-25,92.5,92.5,89.1,90.15,90.2,549277.0,497.9
2009-08-26,90.5,91.7,89.2,90.0,90.0,472096.0,427.44
2009-08-27,90.0,91.5,89.4,90.1,90.0,311185.0,281.52
2009-08-28,90.1,90.9,89.1,90.1,89.95,242213.0,217.93
2009-08-31,89.5,95.0,89.5,90.85,90.8,472204.0,433.35
2009-09-01,100.0,100.0,89.3,90.0,90.0,538509.0,489.73
2009-09-02,93.7,97.2,89.0,90.5,90.35,276351.0,250.89
2009-09-03,93.0,93.0,89.5,90.1,90.05,182069.0,164.7
2009-09-04,93.35,94.8,87.0,88.0,88.05,202113.0,179.74
2009-09-07,92.0,92.0,82.25,82.9,83.05,1118964.0,969.15
2009-09-08,85.5,91.9,76.55,77.0,77.85,2303156.0,1901.67
2009-09-09,77.5,78.6,72.8,75.5,75.2,1069666.0,803.55
2009-09-10,77.0,77.0,74.0,74.4,74.45,506870.0,380.41
2009-09-11,75.2,81.4,60.25,79.1,78.6,6721114.0,4771.98
2009-09-14,79.95,84.25,76.2,80.9,82.3,2947963.0,2404.32
2009-09-15,82.3,85.6,79.1,80.0,80.15,1087383.0,885.35
2009-09-16,80.8,81.2,77.0,77.8,78.0,518747.0,410.83
2009-09-17,81.0,81.0,71.1,75.45,75.15,460738.0,350.34
2009-09-18,71.1,77.95,71.1,73.5,73.3,397363.0,292.86
2009-09-22,75.45,75.45,70.1,72.5,72.7,259673.0,190.11
2009-09-23,71.0,77.7,71.0,72.9,73.35,597828.0,447.67
2009-09-24,73.35,73.75,71.0,72.0,72.05,235806.0,170.8
2009-09-25,71.1,73.0,70.75,71.6,71.75,199150.0,143.71
2009-09-29,71.75,76.9,71.75,75.0,75.55,675347.0,506.31
2009-09-30,75.0,80.3,74.3,79.4,79.5,1188278.0,929.34
2009-10-01,78.1,80.0,76.8,77.05,77.65,309959.0,241.28
2009-10-05,77.3,80.7,75.5,76.4,76.1,808077.0,626.79
2009-10-06,77.8,78.0,74.6,77.0,77.0,647299.0,494.9
2009-10-07,79.0,79.9,71.05,71.6,71.8,733260.0,544.59
2009-10-08,74.0,76.0,71.1,71.2,71.25,381050.0,274.33
2009-10-09,72.85,73.4,69.3,71.5,70.1,378085.0,267.5
2009-10-12,72.0,73.25,69.1,69.5,69.65,447399.0,318.51
2009-10-14,70.1,71.4,68.75,69.2,69.2,206866.0,144.43
2009-10-15,70.0,70.2,62.0,68.2,68.9,229147.0,157.49
2009-10-16,68.9,69.5,68.15,69.1,68.8,176258.0,121.23
2009-10-17,68.55,69.7,68.1,68.9,68.95,32238.0,22.23
2009-10-20,70.45,72.0,68.75,68.85,69.25,217288.0,152.75
2009-10-21,69.5,70.0,67.0,67.1,67.35,112691.0,77.31
2009-10-22,67.35,69.1,66.05,66.35,66.45,126736.0,85.01
2009-10-23,68.0,68.5,66.0,66.0,66.05,94943.0,63.25
2009-10-26,66.55,68.4,65.2,66.35,66.4,207423.0,138.81
2009-10-27,66.0,69.4,65.15,66.2,65.35,471955.0,315.55
2009-10-28,65.0,74.4,64.05,74.15,74.1,3193898.0,2313.07
2009-10-29,73.8,76.4,68.5,70.1,70.0,1029644.0,743.35
2009-10-30,72.9,73.35,69.0,70.0,70.0,1909070.0,1340.36
2009-11-03,67.1,71.1,58.6,60.05,60.05,815575.0,521.76
2009-11-04,62.1,72.0,57.0,71.8,70.9,983946.0,646.29
2009-11-05,71.0,83.0,66.3,66.5,67.65,5605289.0,4269.2
2009-11-06,66.5,70.8,63.5,65.2,64.45,1413556.0,942.09
2009-11-09,65.0,67.4,62.9,65.5,65.05,336401.0,220.27
2009-11-10,66.0,66.85,63.55,64.0,64.05,261539.0,170.48
2009-11-11,65.0,65.1,63.15,63.75,63.85,220488.0,141.16
2009-11-12,64.7,68.4,63.75,64.8,64.9,455935.0,302.53
2009-11-13,65.5,65.5,63.35,63.75,63.8,190643.0,122.62
2009-11-16,64.5,65.0,63.9,64.0,64.15,194557.0,125.44
2009-11-17,64.7,64.7,63.0,63.35,63.3,154867.0,98.78
2009-11-18,63.35,64.5,63.0,63.0,63.3,117510.0,74.82
2009-11-19,62.0,66.4,62.0,62.5,62.65,306201.0,196.03
2009-11-20,62.25,63.5,62.05,62.5,62.5,131287.0,82.39
2009-11-23,63.1,63.5,62.0,62.0,62.2,133797.0,83.77
2009-11-24,62.8,62.8,61.0,61.5,61.35,117932.0,73.07
2009-11-25,61.4,64.4,60.55,61.4,61.4,230917.0,144.01
2009-11-26,61.1,62.65,60.05,61.0,60.8,111002.0,68.04
2009-11-27,62.0,65.0,58.0,59.0,58.9,199789.0,117.8
2009-11-30,60.9,60.9,59.0,59.55,59.55,110294.0,66.11
2009-12-01,60.0,61.8,60.0,60.5,60.55,188375.0,114.5
2009-12-02,61.0,61.5,60.05,60.5,60.5,141037.0,85.83
2009-12-03,61.0,63.9,60.65,61.95,61.7,384067.0,239.69
2009-12-04,61.1,62.7,61.0,61.5,61.25,137187.0,84.73
2009-12-07,62.8,62.8,60.0,60.15,60.25,105882.0,64.62
2009-12-08,60.25,61.9,60.05,60.75,60.6,125424.0,76.29
2009-12-09,60.1,63.0,60.0,61.2,61.05,256033.0,157.77
2009-12-10,61.6,61.8,60.9,61.2,61.05,92659.0,56.8
2009-12-11,61.7,62.05,60.05,60.4,60.25,117973.0,72.03
2009-12-14,59.5,61.9,55.65,60.15,60.05,152789.0,92.52
2009-12-15,60.5,61.2,58.5,58.5,59.2,92189.0,55.17
2009-12-16,59.0,59.3,58.0,58.3,58.35,100124.0,58.61
2009-12-17,57.75,60.75,57.75,58.8,58.8,150307.0,89.12
2009-12-18,59.0,59.0,57.25,57.4,57.65,92695.0,53.95
2009-12-21,57.5,58.7,57.1,57.15,57.35,75836.0,43.91
2009-12-22,57.6,58.25,56.5,56.85,56.85,101266.0,58.19
2009-12-23,57.6,57.8,56.55,57.05,57.0,83499.0,47.88
2009-12-24,57.5,57.85,56.6,56.7,56.9,93633.0,53.53
2009-12-29,57.55,57.7,56.85,57.3,57.1,99995.0,57.34
2009-12-30,57.8,57.8,56.65,56.9,56.9,57752.0,33.01
2009-12-31,56.8,61.9,56.8,59.1,59.3,376672.0,225.62
2010-01-04,60.1,60.9,59.4,60.0,59.8,126144.0,75.71
2010-01-05,60.0,62.0,59.1,60.9,60.95,285215.0,174.09
2010-01-06,61.05,61.9,60.65,60.8,60.8,141701.0,86.7
2010-01-07,61.4,61.4,59.05,59.8,59.75,77307.0,46.49
2010-01-08,60.7,61.5,59.3,60.1,60.15,130654.0,79.32
2010-01-11,61.5,64.9,61.0,61.9,61.8,233935.0,146.29
