Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,79.5,81.8,79.5,,,,
1998-03-23,81.8,81.85,81.8,81.85,81.85,200.0,0.16
1998-03-24,81.9,81.9,81.9,81.9,81.9,1150.0,0.94
1998-03-25,90.1,90.1,90.1,90.1,90.1,250.0,0.23
1998-03-26,99.15,99.15,99.15,99.15,99.15,750.0,0.74
1998-03-27,102.3,102.3,102.3,102.3,102.3,1700.0,1.74
1998-03-30,102.35,102.35,102.35,102.35,102.35,200.0,0.2
1998-03-31,102.4,102.4,102.4,102.4,102.4,100.0,0.1
1998-04-01,0.0,0.0,0.0,102.4,106.5,100000.0,106.5
1998-04-02,117.15,117.15,117.15,117.15,117.15,50.0,0.06
1998-04-03,127.9,127.9,127.9,127.9,127.9,650.0,0.83
1998-04-06,127.95,127.95,127.95,127.95,127.95,150.0,0.19
1998-04-07,128.0,128.0,128.0,128.0,128.0,100.0,0.13
1998-04-09,140.8,140.8,140.8,140.8,140.8,150.0,0.21
1998-04-10,155.05,160.0,155.05,160.0,160.0,4150.0,6.57
1998-04-13,160.0,160.05,160.0,160.05,160.05,400.0,0.64
1998-04-15,176.0,176.1,176.0,176.1,176.1,1650.0,2.9
1998-04-16,193.5,193.75,190.0,193.75,193.75,15300.0,29.58
1998-04-17,193.75,195.5,174.8,180.0,182.35,133950.0,242.98
1998-04-20,179.9,199.9,175.0,199.9,199.35,111750.0,215.13
1998-04-21,199.9,199.95,194.05,199.95,199.95,6050.0,12.08
1998-04-22,213.55,219.95,211.0,216.5,216.35,20050.0,43.57
1998-04-23,219.0,238.0,210.0,231.0,230.8,23450.0,53.52
1998-04-24,249.75,249.75,249.75,249.75,249.75,10350.0,25.85
1998-04-27,249.8,249.85,249.8,249.85,249.85,600.0,1.5
1998-04-28,249.95,249.95,249.95,249.95,249.95,250.0,0.62
1998-04-29,274.95,274.95,274.95,274.95,274.95,900.0,2.47
1998-04-30,302.05,302.45,261.5,281.9,280.75,33700.0,95.22
1998-05-04,300.0,308.85,299.5,308.85,308.85,44250.0,135.3
1998-05-05,312.15,312.2,300.55,308.75,305.45,25850.0,80.35
1998-05-06,319.5,320.0,275.0,275.0,276.85,136400.0,403.49
1998-05-08,262.0,299.0,262.0,283.9,282.5,136850.0,396.53
1998-05-11,293.0,300.0,289.0,295.0,296.3,68600.0,202.14
1998-05-12,289.0,293.95,267.0,270.9,270.7,53300.0,146.2
1998-05-13,270.25,282.95,266.0,266.5,270.55,31500.0,86.36
1998-05-14,275.85,282.0,266.0,280.0,280.15,21000.0,57.79
1998-05-15,280.0,285.0,278.0,278.8,279.6,20450.0,57.7
1998-05-18,282.85,307.6,277.15,307.6,307.45,60550.0,181.37
1998-05-19,315.0,337.0,303.0,332.0,328.9,64950.0,211.41
1998-05-20,355.0,355.0,322.0,327.0,332.15,100800.0,337.17
1998-05-21,332.1,332.1,305.0,318.0,317.8,31200.0,99.9
1998-05-22,318.0,330.0,295.0,295.6,299.7,66050.0,207.04
