Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2009-02-20,16.15,16.15,11.55,14.0,13.95,1062.0,0.15
2009-02-24,13.95,13.95,13.5,13.95,13.85,8669.0,1.19
2009-02-25,13.75,14.2,12.8,13.5,13.8,11396.0,1.56
2009-02-26,14.45,14.45,13.55,13.95,13.75,3699.0,0.51
2009-02-27,13.2,13.5,13.2,13.5,13.5,450.0,0.06
2009-03-02,13.9,13.9,12.8,12.8,12.8,30758.0,4.07
2009-03-03,13.0,13.0,13.0,13.0,13.0,50.0,0.01
2009-03-04,12.5,12.9,11.3,12.9,12.9,2107.0,0.25
2009-03-05,11.8,12.0,11.35,11.35,11.95,3321.0,0.4
2009-03-06,12.45,12.9,11.55,11.9,11.9,3371.0,0.41
2009-03-09,12.05,12.9,12.0,12.0,12.0,1505.0,0.19
2009-03-12,12.8,12.8,11.2,11.2,11.2,3150.0,0.36
2009-03-13,12.35,12.7,11.3,11.6,11.6,1938.0,0.24
2009-03-16,11.25,11.55,11.25,11.55,11.55,1210.0,0.14
2009-03-17,11.55,12.0,11.5,11.5,11.5,2521.0,0.29
2009-03-18,11.85,11.85,11.6,11.6,11.75,210.0,0.02
2009-03-19,12.0,12.3,11.5,11.5,12.0,2309.0,0.28
2009-03-20,11.4,11.6,11.0,11.6,11.6,19302.0,2.15
2009-03-23,11.0,12.35,11.0,11.25,11.25,1099.0,0.13
2009-03-24,11.5,11.9,11.0,11.05,11.05,5549.0,0.62
2009-03-25,11.0,12.0,10.8,11.7,11.7,10281.0,1.17
2009-03-26,11.15,12.0,11.15,11.6,11.6,1222.0,0.14
2009-03-27,11.55,12.0,11.5,11.8,11.9,1162.0,0.14
2009-03-30,12.95,12.95,11.1,11.3,11.3,6934.0,0.79
2009-03-31,11.5,11.95,11.15,11.25,11.25,10706.0,1.21
2009-04-01,11.3,11.4,11.25,11.4,11.4,8193.0,0.93
2009-04-02,11.2,12.3,11.2,12.3,12.0,6692.0,0.78
2009-04-06,13.0,13.0,11.3,11.9,11.9,2260.0,0.27
2009-04-08,11.05,12.4,11.05,11.65,11.75,2621.0,0.31
2009-04-09,12.0,12.95,11.6,12.15,12.6,10424.0,1.26
2009-04-13,13.5,13.85,12.4,13.85,13.45,2682.0,0.35
2009-04-15,13.85,14.2,13.05,13.65,13.75,8560.0,1.19
2009-04-16,13.0,14.95,13.0,13.0,13.25,4616.0,0.63
2009-04-17,13.1,14.15,13.1,13.95,13.95,770.0,0.1
2009-04-20,16.0,16.0,13.8,14.45,14.35,4245.0,0.61
2009-04-21,13.0,14.8,13.0,14.6,14.5,5805.0,0.84
2009-04-22,14.6,14.8,14.05,14.4,14.2,4718.0,0.68
2009-04-23,14.0,14.55,13.8,14.4,14.4,5429.0,0.79
2009-04-24,14.0,14.6,13.4,14.2,14.2,1246.0,0.18
2009-04-27,14.0,15.0,14.0,14.6,14.4,2204.0,0.32
2009-04-28,14.2,14.3,13.5,14.3,13.8,1062.0,0.14
2009-04-29,14.0,14.75,14.0,14.75,14.55,5039.0,0.74
2009-05-04,14.0,15.85,13.65,14.5,14.25,4771.0,0.68
2009-05-05,14.0,14.15,13.55,13.55,13.95,7107.0,1.0
2009-05-06,12.15,16.5,12.15,14.25,14.25,4871.0,0.71
2009-05-07,13.5,14.0,12.6,13.0,13.0,8252.0,1.08
2009-05-08,13.4,13.6,13.05,13.6,13.35,7175.0,0.95
