Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-10-04,185.0,193.0,183.0,187.2,187.15,8471433.0,15962.78
2013-10-07,188.5,189.95,185.3,188.1,188.4,5797836.0,10910.81
2013-10-08,188.0,189.9,185.25,185.7,186.15,5681106.0,10662.49
2013-10-09,184.25,185.35,182.35,184.25,184.3,6772153.0,12469.56
2013-10-10,183.2,188.8,183.2,186.85,187.05,4844719.0,9077.32
2013-10-11,188.35,188.75,182.3,183.0,183.2,4905919.0,9022.9
2013-10-14,182.5,187.0,180.85,183.95,183.45,5495763.0,10115.86
2013-10-15,184.05,187.0,179.2,185.25,184.85,7056451.0,12950.85
2013-10-17,185.0,188.0,183.1,184.45,184.2,4456203.0,8266.22
2013-10-18,185.7,198.8,185.4,195.2,194.9,16292502.0,31708.98
2013-10-21,196.9,203.25,196.0,198.8,199.05,11866248.0,23700.06
2013-10-22,199.05,201.3,197.0,198.9,198.85,4457869.0,8879.91
2013-10-23,200.95,204.9,195.55,198.3,198.55,9017082.0,18093.79
2013-10-24,199.5,202.9,197.15,199.0,198.8,5443972.0,10916.47
2013-10-25,199.85,204.4,198.2,201.45,202.35,12662866.0,25507.81
2013-10-28,203.5,204.0,194.75,195.0,195.7,5684873.0,11271.2
2013-10-29,195.45,203.0,195.05,200.7,200.85,5074495.0,10152.25
2013-10-30,201.9,201.95,196.2,198.5,198.1,4804248.0,9519.26
2013-10-31,198.4,204.4,198.35,201.5,202.0,12890060.0,25999.81
2013-11-01,204.0,209.4,201.9,206.5,206.6,9680222.0,19957.13
2013-11-03,208.3,208.8,206.5,206.7,207.2,803629.0,1667.46
2013-11-05,205.35,207.7,201.1,201.9,202.2,5392779.0,10967.98
2013-11-06,201.3,202.65,195.1,196.5,197.1,5851890.0,11579.58
2013-11-07,198.0,203.0,196.5,199.25,198.7,5157450.0,10320.64
2013-11-08,197.0,202.2,195.95,199.7,199.85,4459681.0,8935.05
2013-11-11,200.0,205.6,196.1,197.25,198.75,6725772.0,13453.64
2013-11-12,197.95,197.95,190.5,193.75,192.0,6522103.0,12560.2
2013-11-13,191.35,192.0,183.2,188.0,187.6,5957171.0,11190.43
2013-11-14,187.85,194.25,187.85,190.85,190.85,5168873.0,9887.11
2013-11-18,192.5,193.75,187.65,187.9,188.35,6042175.0,11441.68
2013-11-19,188.5,190.8,181.75,185.0,184.7,9790969.0,18122.05
2013-11-20,185.25,189.8,185.15,186.95,186.75,5083245.0,9535.46
2013-11-21,187.25,187.75,177.5,180.1,179.3,7801630.0,14178.64
2013-11-22,181.9,182.7,173.0,174.6,174.35,7785112.0,13744.86
2013-11-25,175.6,178.7,172.35,174.75,174.55,6416535.0,11246.27
2013-11-26,174.2,178.5,174.1,177.0,176.2,6709696.0,11862.8
2013-11-27,176.0,176.8,172.65,174.6,174.15,4038598.0,7029.51
2013-11-28,174.7,178.1,174.25,175.25,175.1,6101367.0,10740.58
2013-11-29,176.4,183.8,176.1,183.1,183.1,7044696.0,12779.26
2013-12-02,184.9,186.95,182.75,183.8,183.85,4285009.0,7925.49
2013-12-03,183.05,186.4,180.8,182.0,181.3,5398574.0,9892.31
2013-12-04,181.45,186.6,181.2,181.95,182.25,12455618.0,22963.53
2013-12-05,186.25,186.5,179.2,180.5,180.9,8673759.0,15806.79
2013-12-06,181.9,184.3,181.4,182.65,182.3,5586214.0,10200.23
2013-12-09,184.8,192.9,184.4,191.45,191.85,13631384.0,25901.4
2013-12-10,193.3,196.95,191.05,196.5,196.2,11709098.0,22747.05
2013-12-11,196.4,197.45,193.3,196.75,196.15,8144286.0,15953.62
2013-12-12,194.8,196.05,193.7,194.5,194.6,5636861.0,10975.68
2013-12-13,194.5,194.5,189.75,192.4,191.9,6897655.0,13223.51
2013-12-16,192.0,203.2,190.0,199.75,200.55,12059507.0,23954.14
2013-12-17,202.1,205.8,201.6,203.85,202.95,9699022.0,19745.85
2013-12-18,203.25,206.9,199.3,201.8,201.05,10772638.0,21851.45
2013-12-19,201.5,208.85,201.25,204.95,204.9,11440595.0,23476.98
2013-12-20,204.8,206.0,201.7,203.55,202.65,7043788.0,14294.17
2013-12-23,202.0,207.2,201.6,203.2,203.65,4628473.0,9486.42
2013-12-24,199.85,200.15,196.7,199.0,199.0,5253946.0,10447.97
2013-12-26,198.2,201.95,198.2,199.9,199.45,4843619.0,9678.87
2013-12-27,201.0,203.8,200.65,201.75,201.3,3623116.0,7313.96
2013-12-30,208.0,208.8,202.2,202.2,202.75,7348043.0,15008.32
2013-12-31,204.1,205.0,201.5,201.8,201.95,2705105.0,5487.6
2014-01-01,202.55,203.9,201.5,201.85,202.0,1367554.0,2769.16
2014-01-02,201.5,207.25,196.85,199.1,199.85,5835175.0,11837.03
2014-01-03,198.85,200.0,196.1,198.7,199.15,3236296.0,6417.59
2014-01-06,198.0,199.8,196.1,198.65,198.95,5207405.0,10308.6
2014-01-07,198.3,201.3,193.65,193.95,194.5,2930763.0,5778.38
2014-01-08,194.5,195.5,189.25,192.85,191.5,3618112.0,6957.43
2014-01-09,192.0,201.9,191.85,200.0,200.35,9300258.0,18499.96
2014-01-10,198.0,202.75,193.9,197.0,196.85,4946310.0,9813.33
2014-01-13,197.1,199.25,194.15,196.0,195.9,3493390.0,6850.33
2014-01-14,195.4,198.9,191.8,192.75,192.55,3570709.0,6962.01
2014-01-15,193.35,198.3,193.2,198.25,197.2,3945065.0,7730.64
2014-01-16,198.1,201.8,196.45,200.1,200.1,4528179.0,9055.5
2014-01-17,200.2,202.6,197.6,200.8,200.6,5081514.0,10181.54
2014-01-20,201.2,206.0,197.25,205.5,205.5,4761265.0,9622.57
2014-01-21,210.0,213.3,206.3,208.8,208.75,10265576.0,21556.75
2014-01-22,208.0,211.75,207.15,210.6,210.45,3752202.0,7889.13
2014-01-23,210.1,211.65,208.25,209.15,208.85,2703282.0,5661.57
2014-01-24,205.8,207.8,199.3,202.85,202.7,5320239.0,10777.0
2014-01-27,199.4,199.4,193.9,195.05,195.05,7334356.0,14364.08
2014-01-28,195.0,200.75,193.45,199.5,199.9,3407695.0,6736.27
2014-01-29,203.0,203.4,193.2,194.05,193.6,6906229.0,13537.39
2014-01-30,191.0,191.8,182.5,187.3,187.2,8558232.0,15908.1
2014-01-31,188.0,191.5,186.2,188.3,188.4,3072944.0,5813.69
2014-02-03,190.0,190.45,184.6,185.0,185.6,6853149.0,12822.23
2014-02-04,183.0,186.4,180.25,183.8,184.6,4179444.0,7658.53
2014-02-05,185.0,185.3,180.5,184.65,184.7,3444643.0,6317.63
2014-02-06,185.0,187.3,182.1,182.95,183.35,3971204.0,7307.9
2014-02-07,184.65,191.0,184.2,190.2,189.9,5298790.0,9983.56
2014-02-10,191.1,193.85,186.4,188.1,187.95,4199317.0,7964.25
2014-02-11,188.55,190.3,185.6,189.2,188.8,3461191.0,6520.41
2014-02-12,190.0,190.4,185.6,187.4,187.5,3055501.0,5716.1
2014-02-13,188.5,191.4,187.0,188.5,188.85,5128906.0,9713.19
2014-02-14,188.6,190.3,184.45,189.2,189.6,3405463.0,6372.28
2014-02-17,190.0,191.2,187.3,189.2,188.7,2585067.0,4883.98
2014-02-18,187.0,191.3,186.55,189.25,189.25,4961885.0,9412.06
2014-02-19,189.35,190.75,185.45,186.35,186.15,5033616.0,9386.08
2014-02-20,185.6,186.9,183.85,185.1,185.25,3558526.0,6593.37
2014-02-21,185.1,187.1,185.05,185.9,186.0,3537895.0,6583.26
2014-02-24,184.35,186.5,183.3,183.95,183.9,2493006.0,4596.7
2014-02-25,184.6,185.25,178.35,179.3,179.45,5719241.0,10319.89
2014-02-26,179.5,179.5,173.65,175.45,175.0,10167943.0,17799.96
2014-02-28,175.0,178.6,175.0,177.35,177.65,5810756.0,10304.7
2014-03-03,176.65,176.8,173.55,174.4,174.45,2674418.0,4678.07
2014-03-04,174.05,183.5,174.05,182.5,182.5,5294363.0,9534.45
2014-03-05,183.45,184.7,180.4,181.9,182.45,4617505.0,8437.04
2014-03-06,183.0,188.1,183.0,186.2,186.3,4449343.0,8277.98
2014-03-07,186.75,189.0,183.55,185.9,186.3,6636288.0,12367.05
2014-03-10,185.5,187.3,183.0,183.5,183.95,3371644.0,6221.57
2014-03-11,183.8,183.8,176.55,178.6,177.8,4372059.0,7846.7
2014-03-12,176.0,179.8,174.8,175.55,175.75,4640516.0,8215.82
2014-03-13,176.1,178.7,171.9,172.0,172.8,3681904.0,6462.74
2014-03-14,170.0,172.8,168.85,171.2,171.5,4959282.0,8472.31
2014-03-18,173.1,175.0,170.65,172.75,172.5,6313120.0,10892.84
2014-03-19,173.85,177.9,172.0,176.15,175.85,6858937.0,12085.69
2014-03-20,174.75,177.25,172.0,172.6,172.8,2576985.0,4492.47
2014-03-21,173.25,179.0,173.25,175.6,175.9,6101744.0,10782.48
2014-03-22,175.6,176.0,174.75,175.4,175.35,281466.0,493.39
2014-03-24,176.15,179.45,174.9,178.35,178.35,3413597.0,6064.76
2014-03-25,177.5,179.7,174.5,175.2,175.05,4180180.0,7377.08
2014-03-26,176.3,184.7,176.3,181.95,182.45,11598421.0,20987.93
2014-03-27,181.75,183.5,179.55,179.7,180.45,7543603.0,13659.78
2014-03-28,181.2,184.35,180.2,182.9,182.95,5226799.0,9547.44
2014-03-31,183.15,189.35,181.7,187.85,188.55,9382685.0,17487.07
2014-04-01,189.05,193.9,185.8,192.0,192.4,9618765.0,18358.18
2014-04-02,192.55,193.7,187.85,189.15,189.3,5428928.0,10310.98
2014-04-03,190.1,193.7,187.4,189.9,190.65,6996668.0,13375.48
2014-04-04,190.25,191.65,188.1,189.85,190.1,4771096.0,9066.29
2014-04-07,189.9,195.2,189.4,194.0,194.4,6763972.0,13038.05
2014-04-09,195.8,198.5,194.5,198.25,197.65,9655102.0,18964.77
2014-04-10,198.65,202.4,195.5,195.85,198.3,9601659.0,19178.1
2014-04-11,195.8,200.45,193.45,195.9,196.05,7637477.0,15049.69
2014-04-15,196.3,198.95,188.0,189.5,189.9,4792316.0,9216.26
2014-04-16,189.45,193.05,186.45,190.0,190.1,3858871.0,7337.51
2014-04-17,190.3,193.5,189.85,192.5,192.7,4937073.0,9475.87
2014-04-21,194.0,207.0,193.95,199.75,201.65,13218506.0,26660.05
2014-04-22,201.5,201.7,193.05,193.35,193.65,10760035.0,21180.76
2014-04-23,193.35,194.7,191.5,192.55,192.55,10456847.0,20166.86
2014-04-25,192.05,194.45,189.8,193.7,193.55,12421594.0,23895.27
2014-04-28,194.0,196.5,192.8,193.2,193.15,3664279.0,7132.67
2014-04-29,193.75,195.65,188.5,189.15,190.6,7188246.0,13820.16
2014-04-30,191.0,191.4,182.2,185.6,185.35,8302988.0,15442.03
2014-05-02,187.0,187.4,179.65,180.55,180.55,4723862.0,8617.74
2014-05-05,178.8,183.45,178.55,180.0,180.4,4486063.0,8131.4
2014-05-06,179.85,182.5,178.8,179.7,180.05,3679524.0,6636.66
2014-05-07,180.5,181.25,178.0,178.15,178.75,2915777.0,5239.97
2014-05-08,180.4,181.5,178.15,179.75,180.0,4545744.0,8180.38
2014-05-09,178.55,184.0,178.2,183.5,183.4,9964154.0,18038.86
2014-05-12,183.7,190.45,183.05,189.65,189.5,9682372.0,18098.78
2014-05-13,192.0,197.9,191.0,193.0,192.95,11756743.0,22842.78
2014-05-14,194.0,199.0,192.05,198.15,197.15,9342528.0,18222.4
2014-05-15,198.9,200.4,192.15,193.0,193.6,6312101.0,12381.48
2014-05-16,198.0,218.85,197.3,215.0,214.95,27704661.0,58429.99
2014-05-19,219.7,230.0,219.05,227.25,227.75,18031988.0,40651.84
2014-05-20,229.95,247.45,228.85,246.0,245.75,26350736.0,63314.81
2014-05-21,249.2,250.8,235.5,250.0,249.2,19190909.0,47134.85
2014-05-22,251.45,261.35,251.0,261.25,259.05,14712006.0,37900.65
2014-05-23,260.9,271.0,260.85,268.65,268.35,9627153.0,25780.06
2014-05-26,271.0,281.35,268.6,280.0,279.2,19667620.0,53973.21
2014-05-27,281.5,281.65,263.2,275.95,276.6,11599055.0,31608.0
2014-05-28,276.75,278.75,269.65,278.0,276.45,10581359.0,29082.77
2014-05-29,280.1,280.4,267.35,276.0,275.5,20491690.0,56042.25
2014-05-30,276.55,285.0,272.55,279.15,280.45,19196652.0,53517.54
2014-06-02,280.95,281.9,275.6,279.3,280.0,5099749.0,14220.75
2014-06-03,282.0,299.5,281.9,296.75,297.95,14785369.0,43231.98
2014-06-04,298.7,298.9,293.25,295.0,295.3,9910224.0,29276.29
2014-06-05,295.8,316.0,295.1,314.95,314.5,16927746.0,52588.99
2014-06-06,316.95,318.3,303.2,306.2,306.6,14590329.0,44889.53
2014-06-09,309.45,312.85,306.5,306.75,307.9,6786946.0,21012.43
2014-06-10,310.9,310.9,292.1,300.45,300.5,10615701.0,31673.15
2014-06-11,299.8,300.9,288.0,292.3,294.8,8379958.0,24663.29
2014-06-12,294.8,298.2,288.1,292.6,292.5,4780569.0,14076.36
2014-06-13,293.0,296.3,284.2,290.0,289.6,5194450.0,15028.13
2014-06-16,289.6,295.5,283.0,290.85,290.1,7364638.0,21382.83
2014-06-17,289.5,301.4,288.7,299.6,297.3,9072421.0,26606.16
2014-06-18,298.5,304.7,290.15,296.95,297.45,9444721.0,28219.29
2014-06-19,298.25,302.3,293.2,295.2,295.05,7700112.0,22841.02
2014-06-20,292.4,297.5,290.15,292.15,291.85,6430575.0,18847.93
2014-06-23,291.45,299.4,290.8,296.65,296.85,5559049.0,16467.7
2014-06-24,298.0,303.6,295.2,298.8,298.65,4785999.0,14387.25
2014-06-25,298.0,301.95,295.35,295.8,296.4,3100458.0,9231.76
2014-06-26,297.85,298.8,292.0,295.05,294.2,7818457.0,22985.69
2014-06-27,294.0,295.85,288.75,289.5,289.35,3839309.0,11164.66
2014-06-30,289.35,293.8,289.35,292.0,292.35,2851502.0,8333.73
2014-07-01,292.55,301.0,292.55,296.0,296.2,4125066.0,12305.23
2014-07-02,300.95,311.7,299.0,309.95,310.1,12138207.0,37193.22
2014-07-03,312.35,316.5,309.6,309.95,310.6,9072538.0,28432.98
2014-07-04,310.5,310.7,304.0,305.15,305.0,3475272.0,10659.47
2014-07-07,306.0,310.4,304.6,307.05,307.65,6099675.0,18737.05
2014-07-08,310.4,310.6,291.2,297.1,296.3,12580287.0,37517.06
2014-07-09,296.0,296.3,288.3,295.0,294.4,11308850.0,33068.28
2014-07-10,295.3,304.65,282.25,292.5,294.4,5487478.0,16132.79
2014-07-11,294.25,295.2,284.9,294.15,292.45,13539161.0,39288.27
2014-07-14,293.95,293.95,283.3,291.9,289.05,14543780.0,41872.04
2014-07-15,289.8,290.5,280.8,286.7,288.5,6283231.0,17991.29
2014-07-16,288.45,299.55,283.0,299.2,296.75,6043715.0,17590.91
2014-07-17,298.05,303.5,296.05,301.2,302.2,9048706.0,27190.63
2014-07-18,299.95,302.2,296.6,297.6,298.8,3628568.0,10871.47
2014-07-21,299.0,301.35,293.05,294.0,295.05,2683879.0,7974.63
2014-07-22,296.0,299.6,292.9,297.9,297.25,3548125.0,10523.14
2014-07-23,298.2,299.4,294.1,295.15,295.6,3046687.0,9028.11
2014-07-24,295.2,302.65,291.65,297.6,298.15,4738975.0,14137.12
2014-07-25,298.0,298.25,287.8,291.5,292.3,3585958.0,10472.82
2014-07-28,292.15,294.2,287.15,290.0,290.15,2428055.0,7049.05
2014-07-30,284.8,293.95,277.5,292.75,291.95,6753513.0,19201.93
2014-07-31,293.45,298.35,289.3,290.4,290.25,8769319.0,25605.57
2014-08-01,287.4,289.1,280.3,282.0,281.9,7143193.0,20289.52
2014-08-04,280.35,292.1,280.35,289.9,289.55,3753638.0,10758.93
2014-08-05,291.9,295.75,285.9,294.8,294.9,3772858.0,10958.24
2014-08-06,292.5,295.65,287.0,287.7,288.55,3770313.0,10997.83
2014-08-07,288.9,290.45,283.4,284.05,284.65,5589017.0,16052.6
2014-08-08,281.55,281.8,267.0,268.4,267.8,8824158.0,24087.37
2014-08-11,271.6,277.2,270.2,275.35,275.4,8673449.0,23703.51
2014-08-12,278.7,279.6,273.3,278.1,278.35,3034654.0,8389.76
2014-08-13,276.0,283.3,275.75,280.0,281.55,6050752.0,16943.19
2014-08-14,279.4,291.75,279.25,288.3,289.5,5283070.0,15175.53
2014-08-18,287.95,294.8,286.8,292.4,293.2,3719494.0,10855.55
2014-08-19,299.0,305.5,295.35,296.95,296.85,7755009.0,23285.64
2014-08-20,296.0,299.35,294.2,294.2,295.0,3073890.0,9105.19
2014-08-21,291.0,293.45,288.7,289.9,289.85,3360184.0,9764.62
2014-08-22,289.25,296.35,289.1,291.0,291.7,3419861.0,10010.23
2014-08-25,290.8,293.3,278.6,279.4,280.05,3637744.0,10386.59
2014-08-26,275.0,283.2,273.0,281.55,280.9,5216689.0,14550.35
2014-08-27,281.2,283.45,275.0,277.0,276.4,2586811.0,7198.01
2014-08-28,274.55,281.7,274.55,277.15,277.15,7899271.0,21976.41
2014-09-01,278.9,285.0,272.65,282.8,283.25,4885417.0,13646.13
2014-09-02,282.3,284.05,276.7,278.1,277.8,4323636.0,12047.75
2014-09-03,277.0,283.3,277.0,279.6,280.15,4744227.0,13315.35
2014-09-04,278.1,281.45,276.0,278.75,278.45,2247325.0,6257.39
2014-09-05,276.15,282.8,276.15,281.05,281.5,3771572.0,10552.15
2014-09-08,284.3,285.8,281.7,284.0,284.45,3098515.0,8804.65
2014-09-09,283.0,283.85,279.25,281.45,281.8,3610893.0,10152.73
2014-09-10,279.0,287.15,277.95,287.1,286.2,3270474.0,9320.2
2014-09-11,287.25,289.9,283.8,286.75,286.65,4418024.0,12654.71
2014-09-12,285.2,291.35,285.2,291.0,290.3,5848332.0,16883.75
2014-09-15,288.0,289.4,285.5,286.2,286.5,3824139.0,10973.59
2014-09-16,283.85,286.9,280.1,284.6,285.05,8183475.0,23224.0
2014-09-17,288.6,289.15,274.5,284.7,284.6,5717444.0,16105.44
2014-09-18,282.5,288.35,282.05,284.35,284.8,4220101.0,12028.49
2014-09-19,285.0,286.8,282.4,283.55,284.8,10092006.0,28688.87
2014-09-22,281.95,284.4,277.05,284.0,283.25,6536717.0,18408.88
2014-09-23,282.7,284.4,278.8,281.4,280.35,6298415.0,17699.9
2014-09-24,279.2,286.0,276.35,280.75,281.6,4465675.0,12516.07
2014-09-25,283.1,283.75,270.0,273.7,273.2,12153544.0,33341.08
2014-09-26,271.4,276.1,267.1,274.7,274.95,3173230.0,8609.92
2014-09-29,274.5,274.8,269.2,271.65,270.65,1852843.0,5040.91
2014-09-30,269.1,279.2,266.15,272.8,272.5,4663762.0,12742.15
2014-10-01,273.3,276.4,269.75,270.25,270.9,3735666.0,10147.16
2014-10-07,269.8,271.85,257.45,258.75,258.5,6614601.0,17422.15
2014-10-08,255.0,259.05,249.6,259.05,257.2,5955371.0,15219.62
2014-10-09,259.0,262.85,257.6,261.8,261.85,3510810.0,9164.12
2014-10-10,259.3,259.3,248.1,251.0,249.75,7340320.0,18557.89
2014-10-13,247.3,251.4,244.55,250.5,249.85,4036541.0,10049.55
2014-10-14,251.05,254.25,218.9,248.8,249.55,22764225.0,54517.92
2014-10-16,245.05,248.8,237.2,238.9,239.15,5968437.0,14463.6
2014-10-17,238.5,238.95,231.2,233.55,232.65,5708900.0,13370.11
2014-10-20,236.0,241.25,232.75,237.7,237.65,2869114.0,6795.39
2014-10-21,241.9,253.5,241.9,247.6,248.5,5701296.0,14141.72
2014-10-22,251.6,252.95,246.6,249.8,249.75,2978808.0,7435.16
2014-10-23,250.6,250.85,245.7,249.5,248.85,267262.0,664.24
2014-10-27,250.6,254.15,247.1,247.75,249.05,3352710.0,8407.08
2014-10-28,247.55,252.45,247.3,250.35,250.65,2669768.0,6677.61
2014-10-29,251.45,256.75,247.4,255.9,255.35,7317308.0,18453.17
2014-10-30,254.8,256.5,251.75,252.8,253.05,6862710.0,17432.28
2014-10-31,252.5,259.25,251.75,255.6,255.95,4954188.0,12684.4
2014-11-03,256.8,263.45,255.7,260.6,262.25,4000656.0,10431.0
2014-11-05,263.9,263.9,250.0,251.75,250.85,4703921.0,11921.89
2014-11-07,250.05,253.5,244.55,247.0,246.1,4695646.0,11622.68
2014-11-10,248.8,250.3,242.55,246.0,245.15,2505331.0,6147.18
2014-11-11,245.2,249.65,243.2,243.3,244.25,3345193.0,8212.68
2014-11-12,244.1,247.9,239.0,241.75,241.75,2986169.0,7290.76
2014-11-13,244.0,244.7,234.25,236.8,235.5,3460925.0,8270.84
2014-11-14,235.8,242.7,232.7,240.25,240.15,4144706.0,9880.89
2014-11-17,238.7,240.85,235.6,238.25,237.95,2556034.0,6080.93
2014-11-18,236.45,248.75,236.45,246.25,246.95,5616842.0,13758.23
2014-11-19,248.2,251.35,239.1,240.0,240.4,4696558.0,11547.81
2014-11-20,239.9,241.0,232.5,234.7,234.6,3612900.0,8526.65
2014-11-21,235.8,239.4,233.05,238.0,237.6,2873728.0,6793.42
2014-11-24,241.0,245.25,234.6,235.85,235.8,6214657.0,14899.57
