Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,6.95,7.0,6.95,,,,
1998-03-23,7.0,7.0,7.0,7.0,7.0,500.0,0.04
1998-03-24,7.05,7.05,7.05,7.05,7.05,50.0,0.0
1998-03-25,7.25,7.4,7.25,7.25,7.25,1300.0,0.09
1998-03-26,7.5,8.0,7.5,8.0,8.0,450.0,0.04
1998-03-27,8.0,8.0,7.25,7.25,7.25,2150.0,0.16
1998-03-30,7.25,7.25,7.0,7.05,7.05,600.0,0.04
1998-04-01,7.0,7.0,7.0,7.0,7.0,300.0,0.02
1998-04-02,6.95,6.95,6.95,6.95,6.95,200.0,0.01
1998-04-03,7.0,7.5,7.0,7.5,7.5,200.0,0.01
1998-04-06,7.5,7.85,7.4,7.75,7.75,1900.0,0.14
1998-04-07,7.55,8.1,7.55,8.1,8.1,200.0,0.02
1998-04-09,8.95,9.25,8.95,9.0,9.0,1850.0,0.17
1998-04-10,9.25,9.25,8.5,9.05,9.05,1250.0,0.11
1998-04-13,9.25,9.5,9.0,9.45,9.4,1800.0,0.17
1998-04-15,9.45,10.6,9.45,10.5,10.45,10100.0,1.01
1998-04-16,11.1,11.1,10.0,10.0,10.0,4100.0,0.43
1998-04-17,10.0,10.1,9.55,9.55,9.55,800.0,0.08
1998-04-20,9.45,9.45,9.0,9.0,9.0,350.0,0.03
1998-04-21,9.0,9.0,8.25,8.45,8.45,2700.0,0.23
1998-04-22,8.0,8.25,8.0,8.25,8.25,300.0,0.02
1998-04-23,8.05,8.05,8.05,8.05,8.05,100.0,0.01
1998-04-24,7.0,7.0,7.0,7.0,7.0,50.0,0.0
1998-04-27,6.9,7.0,6.9,7.0,7.0,2100.0,0.15
1998-04-28,7.1,7.1,7.1,7.1,7.1,100.0,0.01
1998-05-04,7.5,7.5,6.8,7.0,7.0,1950.0,0.14
1998-05-05,6.85,7.85,6.8,6.8,6.8,1150.0,0.08
1998-05-06,7.0,7.0,6.85,6.85,6.85,400.0,0.03
1998-05-11,6.8,7.0,6.8,7.0,7.0,550.0,0.04
1998-05-12,6.8,6.8,6.75,6.75,6.75,1650.0,0.11
1998-05-14,6.75,6.75,6.75,6.75,6.75,100.0,0.01
1998-05-22,7.05,7.05,7.05,7.05,7.05,350.0,0.02
1998-05-25,7.5,7.75,7.5,7.75,7.75,1050.0,0.08
1998-05-26,7.5,7.5,7.5,7.5,7.5,350.0,0.03
1998-05-28,7.25,7.25,7.25,7.25,7.25,200.0,0.01
1998-06-01,7.35,7.75,7.1,7.75,7.75,1100.0,0.08
1998-06-02,7.5,7.6,7.5,7.5,7.55,2150.0,0.16
1998-06-04,8.05,8.5,8.05,8.5,8.5,750.0,0.06
1998-06-05,7.6,8.4,7.6,8.3,8.3,2000.0,0.17
1998-06-09,7.95,7.95,7.8,7.8,7.8,200.0,0.02
1998-06-10,9.0,9.0,9.0,9.0,9.0,50.0,0.0
1998-06-11,8.3,8.3,8.0,8.0,8.0,500.0,0.04
1998-06-12,7.75,7.75,7.0,7.0,7.0,400.0,0.03
1998-06-15,7.0,7.0,6.9,6.9,6.95,1100.0,0.08
1998-06-16,6.45,7.0,6.45,7.0,7.0,450.0,0.03
1998-06-19,6.7,6.7,6.7,6.7,6.7,100.0,0.01
1998-06-22,6.8,6.8,6.8,6.8,6.8,500.0,0.03
1998-06-23,6.8,6.8,6.8,6.8,6.8,200.0,0.01
1998-06-24,7.0,7.0,7.0,7.0,7.0,150.0,0.01
1998-06-25,8.0,8.0,8.0,8.0,8.0,200.0,0.02
1998-06-26,7.75,7.75,7.75,7.75,7.75,150.0,0.01
1998-06-29,7.75,7.75,7.75,7.75,7.75,50.0,0.0
1998-06-30,7.8,8.0,7.8,8.0,7.95,1650.0,0.13
1998-07-01,7.0,7.0,7.0,7.0,7.0,200.0,0.01
1998-07-03,7.0,7.0,7.0,7.0,7.0,250.0,0.02
1998-07-07,8.0,8.0,8.0,8.0,8.0,200.0,0.02
1998-07-13,8.0,8.0,8.0,8.0,8.0,300.0,0.02
1998-07-14,7.8,8.0,7.8,8.0,8.0,200.0,0.02
1998-07-15,7.6,7.6,7.6,7.6,7.6,200.0,0.02
1998-07-16,8.0,8.0,8.0,8.0,8.0,5700.0,0.46
1998-07-17,8.0,8.0,8.0,8.0,8.0,1700.0,0.14
1998-07-20,7.5,7.5,7.5,7.5,7.5,50.0,0.0
1998-07-21,8.0,8.0,8.0,8.0,8.0,2100.0,0.17
1998-07-22,8.0,8.0,7.65,7.65,7.65,600.0,0.05
1998-07-23,8.0,8.0,8.0,8.0,8.0,200.0,0.02
1998-07-24,7.65,7.65,7.65,7.65,7.65,300.0,0.02
1998-07-27,7.55,7.55,7.55,7.55,7.55,200.0,0.02
1998-07-28,7.0,8.0,7.0,8.0,8.0,400.0,0.03
1998-08-03,7.05,7.05,7.05,7.05,7.05,50.0,0.0
1998-08-04,7.1,7.1,7.1,7.1,7.1,200.0,0.01
1998-08-06,7.2,7.2,7.1,7.1,7.15,200.0,0.01
1998-08-07,7.05,7.1,7.05,7.1,7.1,450.0,0.03
1998-08-11,7.1,7.25,7.1,7.2,7.2,450.0,0.03
1998-08-14,7.05,7.05,7.05,7.05,7.05,50.0,0.0
1998-08-17,7.05,7.05,7.05,7.05,7.05,200.0,0.01
1998-08-18,7.05,7.1,7.05,7.1,7.1,350.0,0.02
1998-08-20,7.0,7.0,7.0,7.0,7.0,200.0,0.01
1998-08-24,7.25,7.25,7.25,7.25,7.25,200.0,0.01
1998-09-03,8.25,8.4,8.25,8.4,8.4,300.0,0.02
1998-09-04,7.6,7.9,7.6,7.9,7.9,300.0,0.02
1998-09-07,7.95,8.5,7.95,8.5,8.5,1100.0,0.09
1998-09-08,8.5,8.95,8.5,8.95,8.95,2950.0,0.26
1998-09-09,9.75,9.75,8.9,8.9,8.9,400.0,0.04
1998-09-10,8.5,8.9,8.5,8.8,8.8,2000.0,0.17
1998-09-11,7.9,7.9,7.9,7.9,7.9,100.0,0.01
1998-09-15,8.1,8.1,8.1,8.1,8.1,500.0,0.04
1998-09-16,8.4,8.4,8.0,8.0,8.0,300.0,0.02
1998-09-17,7.95,8.0,7.95,8.0,8.0,1400.0,0.11
1998-09-22,7.55,7.85,7.4,7.85,7.85,450.0,0.03
1998-09-23,9.3,9.3,9.3,9.3,9.3,50.0,0.0
1998-09-24,8.5,8.5,8.5,8.5,8.5,1100.0,0.09
1998-09-25,7.55,7.55,7.5,7.5,7.5,1000.0,0.08
1998-09-28,8.0,8.0,8.0,8.0,8.0,700.0,0.06
1998-09-29,8.0,8.0,7.2,7.2,7.2,200.0,0.02
1998-10-05,7.0,7.0,7.0,7.0,7.0,550.0,0.04
1998-10-06,7.0,7.5,7.0,7.5,7.5,350.0,0.02
1998-10-09,7.5,7.5,7.5,7.5,7.5,500.0,0.04
1998-10-12,7.5,7.5,7.45,7.5,7.5,1300.0,0.1
1998-10-13,7.5,7.5,7.5,7.5,7.5,200.0,0.02
1998-10-14,6.05,6.05,6.05,6.05,6.05,100.0,0.01
1998-10-15,7.0,7.05,7.0,7.0,7.0,1400.0,0.1
1998-10-20,7.0,7.0,7.0,7.0,7.0,300.0,0.02
1998-10-22,7.0,7.0,7.0,7.0,7.0,1900.0,0.13
1998-10-23,7.05,7.05,6.5,6.5,6.5,1000.0,0.07
1998-10-28,6.75,6.75,6.5,6.5,6.5,600.0,0.04
1998-11-02,6.75,6.75,6.75,6.75,6.75,1500.0,0.1
1998-11-03,6.8,6.8,6.8,6.8,6.8,150.0,0.01
1998-11-05,6.75,6.75,6.75,6.75,6.75,1000.0,0.07
1998-11-11,7.0,7.0,6.75,6.75,6.75,1800.0,0.12
1998-11-12,7.95,8.0,7.95,8.0,8.0,300.0,0.02
1998-11-13,6.85,6.85,6.85,6.85,6.85,200.0,0.01
1998-11-17,6.75,6.75,6.75,6.75,6.75,100.0,0.01
1998-11-19,8.2,8.2,8.2,8.2,8.2,50.0,0.0
1998-11-20,7.3,7.3,7.3,7.3,7.3,200.0,0.01
1998-11-23,7.95,8.0,7.4,7.95,7.95,1550.0,0.12
1998-11-24,8.1,8.25,8.1,8.1,8.1,1100.0,0.09
1998-11-27,8.5,8.5,8.0,8.0,8.0,300.0,0.02
1998-11-28,8.0,8.65,8.0,8.65,8.65,1200.0,0.1
