Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,13.9,13.9,13.55,,,,
1998-03-24,13.75,14.0,13.0,13.35,13.4,6600.0,0.9
1998-03-25,13.55,14.0,13.5,14.0,14.0,3300.0,0.46
1998-03-26,13.8,14.25,13.8,13.8,13.8,2900.0,0.41
1998-03-27,14.0,14.25,13.6,13.65,13.65,2800.0,0.39
1998-03-30,13.75,14.5,13.7,14.0,14.0,6200.0,0.88
1998-03-31,13.8,13.85,13.7,13.7,13.7,5700.0,0.78
1998-04-01,13.55,14.1,13.5,14.0,14.0,3500.0,0.48
1998-04-02,13.8,14.0,13.8,14.0,14.0,2900.0,0.4
1998-04-03,13.3,14.0,13.3,14.0,14.0,2600.0,0.36
1998-04-06,13.5,14.35,13.5,13.9,13.9,3600.0,0.51
1998-04-07,13.8,14.5,13.7,14.2,14.2,11600.0,1.63
1998-04-09,15.0,15.6,15.0,15.6,15.6,15000.0,2.32
1998-04-10,15.6,16.8,15.6,16.2,16.3,21100.0,3.44
1998-04-13,16.0,16.2,15.3,15.75,15.6,13600.0,2.16
1998-04-15,16.25,17.2,16.25,17.2,17.2,9500.0,1.6
1998-04-16,18.6,18.9,16.0,16.3,16.4,16300.0,2.85
1998-04-17,15.75,16.9,15.25,16.75,16.7,6000.0,0.96
1998-04-20,16.6,16.6,15.5,15.5,15.5,7400.0,1.17
1998-04-21,14.65,15.9,14.65,15.75,15.6,12100.0,1.86
1998-04-22,15.75,16.15,15.75,15.8,15.8,9000.0,1.43
1998-04-23,15.0,15.25,14.8,15.0,14.95,4700.0,0.71
1998-04-24,14.5,15.0,14.0,14.9,14.9,4900.0,0.7
1998-04-27,15.0,15.1,14.5,14.85,14.85,3300.0,0.49
1998-04-28,14.5,14.9,14.05,14.3,14.35,7700.0,1.11
1998-04-29,14.75,14.95,14.1,14.5,14.45,5400.0,0.78
1998-04-30,15.45,15.9,15.4,15.9,15.9,5900.0,0.94
1998-05-04,16.25,17.5,16.25,17.0,16.95,13700.0,2.33
1998-05-05,16.95,17.0,16.5,16.6,16.75,13200.0,2.21
1998-05-06,16.5,16.9,15.8,16.5,16.6,9800.0,1.62
1998-05-08,17.0,17.0,16.1,16.35,16.35,3900.0,0.64
1998-05-11,16.0,16.4,15.85,16.2,16.2,9800.0,1.57
1998-05-12,16.0,16.25,15.6,15.85,15.85,7500.0,1.19
1998-05-13,15.55,15.7,15.4,15.4,15.4,8800.0,1.36
1998-05-14,15.0,15.9,15.0,15.6,15.7,15900.0,2.41
1998-05-15,16.0,16.0,15.4,15.6,15.6,3700.0,0.58
1998-05-18,15.5,15.75,15.5,15.6,15.6,5200.0,0.81
1998-05-19,15.5,16.7,15.5,15.65,15.65,12800.0,2.01
1998-05-20,16.45,16.45,16.0,16.25,16.25,4600.0,0.75
1998-05-21,16.05,16.45,16.05,16.3,16.3,7500.0,1.22
1998-05-22,15.85,16.0,15.5,16.0,16.0,2400.0,0.38
1998-05-25,15.6,16.45,15.6,15.8,16.0,11200.0,1.8
1998-05-26,16.0,16.0,15.5,15.5,15.55,9600.0,1.52
1998-05-27,16.2,16.2,15.7,15.95,15.9,4500.0,0.72
1998-05-28,15.5,16.15,15.5,15.8,15.85,9600.0,1.52
1998-05-29,15.5,15.6,15.0,15.55,15.55,4500.0,0.7
1998-06-01,15.75,16.2,15.5,15.55,15.55,3100.0,0.49
1998-06-02,15.5,15.5,14.75,14.8,14.9,9300.0,1.4
1998-06-03,14.05,15.6,14.05,15.6,15.6,2100.0,0.31
1998-06-04,15.3,15.6,14.8,14.8,14.8,4400.0,0.67
1998-06-05,14.1,15.2,14.0,14.9,14.75,4700.0,0.69
1998-06-08,14.25,14.85,14.2,14.6,14.55,5900.0,0.85
1998-06-09,14.3,14.7,14.0,14.3,14.3,8800.0,1.26
1998-06-10,14.6,15.6,14.6,14.75,14.9,6300.0,0.93
1998-06-11,14.7,14.95,14.5,14.95,14.7,5600.0,0.82
1998-06-12,16.0,16.2,16.0,16.2,16.2,2800.0,0.45
1998-06-15,16.4,16.8,15.5,16.35,16.1,12300.0,1.97
1998-06-16,15.5,16.25,15.05,16.25,16.1,12200.0,1.91
1998-06-17,17.0,17.0,16.15,16.75,16.7,14200.0,2.33
1998-06-18,16.5,16.8,16.05,16.05,16.2,6500.0,1.07
1998-06-19,15.7,16.1,15.7,16.1,16.1,3300.0,0.53
1998-06-22,15.85,15.85,15.0,15.5,15.5,4000.0,0.62
1998-06-23,15.4,15.45,15.0,15.05,15.15,12100.0,1.84
1998-06-24,15.1,15.7,15.1,15.7,15.7,2400.0,0.37
1998-06-25,16.3,16.3,15.6,15.6,15.6,2500.0,0.4
1998-06-26,15.6,16.1,15.6,16.1,16.1,3600.0,0.57
1998-06-29,16.95,16.95,16.0,16.1,16.1,5700.0,0.92
1998-06-30,15.75,16.1,15.6,16.05,15.95,6100.0,0.97
1998-07-01,15.75,16.25,15.75,16.05,16.05,4700.0,0.75
1998-07-02,16.0,16.0,15.75,15.8,15.8,4000.0,0.63
1998-07-03,15.75,15.75,15.65,15.75,15.75,2300.0,0.36
1998-07-06,15.7,15.85,15.55,15.55,15.55,3300.0,0.51
1998-07-07,15.5,15.75,15.35,15.35,15.4,4300.0,0.67
1998-07-08,15.25,15.75,15.25,15.7,15.7,4200.0,0.66
1998-07-09,15.75,15.9,15.5,15.9,15.9,5200.0,0.82
1998-07-10,16.0,16.05,15.75,15.85,15.85,5700.0,0.91
1998-07-13,16.25,17.0,16.0,17.0,16.75,5400.0,0.89
1998-07-14,16.5,17.25,16.5,17.25,17.05,14400.0,2.44
1998-07-15,16.4,17.2,16.4,17.2,17.1,10300.0,1.75
1998-07-16,16.1,17.0,16.1,16.95,16.95,6100.0,1.03
1998-07-17,16.7,17.25,16.55,16.9,17.05,7100.0,1.2
1998-07-20,16.7,16.9,16.1,16.3,16.3,6600.0,1.09
1998-07-21,16.4,16.7,16.05,16.5,16.45,15700.0,2.57
1998-07-22,15.7,15.7,14.85,15.0,15.0,9400.0,1.42
1998-07-23,15.0,15.0,14.35,14.7,14.85,15500.0,2.3
1998-07-24,14.7,15.0,14.4,15.0,15.0,13800.0,2.04
1998-07-27,14.4,14.6,14.2,14.25,14.35,1900.0,0.27
1998-07-28,14.35,14.65,14.3,14.55,14.55,4100.0,0.59
1998-07-29,14.5,14.5,14.3,14.4,14.4,2900.0,0.42
1998-07-30,14.95,14.95,13.55,14.05,14.15,5200.0,0.74
1998-07-31,14.2,14.25,14.1,14.1,14.1,2600.0,0.37
1998-08-03,14.05,14.05,13.9,14.05,13.95,2500.0,0.35
1998-08-04,13.95,14.25,13.75,14.1,14.1,7000.0,0.98
1998-08-05,14.0,14.0,13.8,13.85,13.85,2100.0,0.29
1998-08-06,14.0,14.0,13.65,13.7,13.7,1800.0,0.25
1998-08-07,13.6,14.0,13.6,14.0,13.95,5100.0,0.71
1998-08-10,14.5,14.5,13.65,13.75,13.75,2100.0,0.29
1998-08-11,14.0,14.0,13.65,13.9,13.9,3200.0,0.44
1998-08-12,13.5,13.9,13.5,13.85,13.85,1000.0,0.14
1998-08-13,13.5,13.9,13.5,13.9,13.9,2900.0,0.39
1998-08-14,13.7,13.75,13.25,13.25,13.25,3300.0,0.45
1998-08-17,13.25,13.85,13.25,13.4,13.35,1000.0,0.13
1998-08-18,13.65,13.7,13.25,13.3,13.3,4600.0,0.61
1998-08-19,13.05,13.65,12.8,13.65,13.65,2100.0,0.28
1998-08-20,13.25,13.45,13.25,13.4,13.4,1700.0,0.23
1998-08-21,13.6,13.7,13.25,13.45,13.45,3400.0,0.46
1998-08-24,13.5,13.5,13.0,13.1,13.1,5300.0,0.7
1998-08-25,13.1,13.3,13.0,13.1,13.1,7800.0,1.02
