Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2001-01-10,10.5,10.5,9.05,9.6,9.5,144343.0,14.06
2001-01-11,9.5,9.65,9.2,9.45,9.35,54791.0,5.13
2001-01-12,9.3,9.55,9.3,9.35,9.4,26045.0,2.45
2001-01-15,9.5,9.5,9.05,9.2,9.15,51689.0,4.78
2001-01-16,9.1,9.35,8.75,9.2,9.25,72221.0,6.6
2001-01-17,9.0,9.35,9.0,9.2,9.2,27900.0,2.57
2001-01-18,9.1,9.3,9.1,9.3,9.3,18726.0,1.73
2001-01-19,9.25,9.4,9.25,9.4,9.4,12648.0,1.18
2001-01-22,9.9,9.9,9.2,9.45,9.45,18054.0,1.71
2001-01-23,9.4,9.45,9.2,9.4,9.4,30150.0,2.82
2001-01-24,9.35,9.5,9.3,9.35,9.35,25550.0,2.41
2001-01-25,9.35,9.4,9.0,9.0,9.0,100623.0,9.14
2001-01-29,8.9,9.0,8.8,9.0,9.0,36538.0,3.27
2001-01-30,9.0,9.0,8.9,8.9,8.9,36225.0,3.24
2001-01-31,8.95,9.05,8.85,8.95,8.95,31730.0,2.85
2001-02-01,8.9,9.05,8.9,9.0,9.0,19800.0,1.78
2001-02-02,8.95,9.0,8.75,9.0,8.95,15891.0,1.42
2001-02-05,9.1,9.1,8.85,8.95,8.85,19805.0,1.78
2001-02-06,8.95,9.0,8.75,8.9,8.8,28259.0,2.5
2001-02-07,9.0,9.0,8.8,8.9,8.95,21250.0,1.9
2001-02-08,8.95,9.0,8.9,9.0,9.0,83750.0,7.52
2001-02-09,9.0,9.6,8.95,9.6,9.45,383060.0,35.25
2001-02-12,9.65,10.2,9.4,9.65,9.5,153861.0,15.09
2001-02-13,9.65,9.65,9.0,9.05,9.2,104336.0,9.61
2001-02-14,9.25,9.8,9.2,9.75,9.7,60076.0,5.73
2001-02-15,9.5,9.8,9.5,9.55,9.55,55131.0,5.31
2001-02-16,9.6,9.6,9.35,9.45,9.4,50210.0,4.75
2001-02-19,9.45,9.6,9.25,9.5,9.4,30310.0,2.85
2001-02-20,9.4,9.5,9.3,9.35,9.3,41683.0,3.92
2001-02-21,9.55,9.6,9.3,9.3,9.35,19650.0,1.86
2001-02-22,9.15,9.4,9.15,9.4,9.4,19262.0,1.78
2001-02-23,9.5,9.5,8.8,8.95,8.9,52559.0,4.75
2001-02-26,8.7,8.9,8.15,8.45,8.3,81020.0,6.87
2001-02-27,8.45,8.55,8.25,8.25,8.35,44505.0,3.75
2001-02-28,8.55,9.5,8.55,9.0,8.95,67652.0,6.13
2001-03-01,9.35,9.35,9.0,9.0,9.0,29450.0,2.71
2001-03-02,9.2,9.2,8.85,8.9,8.9,18504.0,1.66
2001-03-05,8.45,8.75,8.0,8.2,8.15,63780.0,5.24
2001-03-07,8.25,8.95,8.2,8.4,8.4,27061.0,2.29
2001-03-08,8.4,8.75,8.2,8.35,8.35,24150.0,2.03
2001-03-09,8.1,8.4,8.1,8.2,8.2,30849.0,2.53
2001-03-12,8.3,8.3,8.0,8.0,8.05,41570.0,3.35
2001-03-13,7.95,7.95,7.1,7.6,7.5,48040.0,3.58
2001-03-14,8.45,8.45,7.5,8.25,8.25,9575.0,0.78
