Code,Name
NSE/EXCELINFO,Excel Infoways Limited
NSE/VARUNSHIP,Varun Shipping Company Limited
NSE/PROZONE,Prozone Capital Shopping Centres Limited
NSE/UBENGG,UB Engineering Limited
NSE/NIFTY_100,National Stock Exchange of India (NSE) Stock Index - Nifty 100
NSE/MVLIND,MVL Industries Limited
NSE/MAX,Max India Limited
NSE/SSLT,Sesa Sterlite Limited
NSE/APIL,Alstom Projects India Limited
NSE/KTKNV20ETF,KOTAKMAMC - KTKNV20ETF
NSE/ALFALAVAL,Alfa Laval (India) Limited
NSE/AHMEDFORGE,Ahmednagar Forgings Limited
NSE/PIRGLASS,Piramal Glass Limited
NSE/FTCPOF5YDV,Franklin Templeton Capital Protection Oriented Fund
NSE/BROADCAST,Broadcast Initiatives Limited
NSE/ORIENTCERA,Orient Ceramics and Industries Limited
NSE/CMC,CMC Limited
NSE/STER,Sterlite Industries ( India ) Limited
NSE/RELMEDIA,Reliance MediaWorks Limited
NSE/SEZALGLASS,Sezal Glass Limited
NSE/GULFOILCOR,Gulf Oil Corporation Limited
NSE/ALMONDZ,Almondz Global Securities Limited
NSE/APOLLOHOSP,Apollo Hospitals Enterprise Limited
NSE/CENTRALBK,Central Bank of India
NSE/CONTROLPR,Control Print Limited
NSE/DABUR,Dabur India Limited
NSE/ELGIEQUIP,Elgi Equipments Limited
NSE/GKWLIMITED,GKW Limited
NSE/GOLDBEES,Goldman Sachs Gold Exchange Traded Scheme
NSE/GTNIND,GTN Industries Limited
NSE/IFCI,IFCI Limited
NSE/INFRABEES,Goldman Sachs Infrastructure Exchange Traded Scheme
NSE/JMA,Jullundur Motor Agency (Delhi) Limited
NSE/KMSUGAR,K.M.Sugar Mills Limited
NSE/ORISSAMINE,The Orissa Minerals Development Company Limited
NSE/PNBGILTS,PNB Gilts Limited
NSE/PSL,PSL Limited
NSE/RBL,Rane Brake Lining Limited
NSE/RJL,Renaissance Jewellery Limited
NSE/SKMEGGPROD,SKM Egg Products Export (India) Limited
NSE/SRF,SRF Limited
NSE/TANTIACONS,Tantia Constructions Limited
NSE/TEXRAIL,Texmaco Rail & Engineering Limited
NSE/VEDL,Vedanta Limited
NSE/VSTTILLERS,V.S.T Tillers Tractors Limited
NSE/FAME,Fame India Limited
NSE/3IINFOTECH,3i Infotech Limited
NSE/CAIRN,Cairn India Limited
NSE/EIDPARRY,EID Parry India Limited
NSE/EXIDEIND,Exide Industries Limited
NSE/GANDHITUBE,Gandhi Special Tubes Limited
NSE/GLOBALVECT,Global Vectra Helicorp Limited
NSE/HGS,Hinduja Global Solutions Limited
NSE/INDHOTEL,The Indian Hotels Company Limited
NSE/JKPAPER,JK Paper Limited
NSE/KAMATHOTEL,Kamat Hotels (I) Limited
NSE/KIRLOSENG,Kirloskar Oil Engines Limited
NSE/MIRZAINT,Mirza International Limited
NSE/MUKANDLTD,Mukand Limited
NSE/NIPPOBATRY,Indo-National Limited
NSE/PPAP,PPAP Automotive Limited
NSE/PURVA,Puravankara Projects Limited
NSE/RAYMOND,Raymond Limited
NSE/RML,Rane (Madras) Limited
NSE/SEPOWER,S.E. Power Limited
NSE/SHOPERSTOP,Shoppers Stop Limited
NSE/SKFINDIA,SKF India Limited
NSE/SPMLINFRA,SPML Infra Limited
NSE/SUNFLAG,Sunflag Iron And Steel Company Limited
NSE/TOKYOPLAST,Tokyo Plast International Limited
NSE/UBHOLDINGS,United Breweries (Holdings) Limited
NSE/UTTAMSTL,Uttam Galva Steels Limited
NSE/VIJAYABANK,Vijaya Bank
NSE/SHASUNPHAR,Shasun Pharmaceuticals Limited
NSE/APLAPOLLO,APL Apollo Tubes Limited
NSE/BEDMUTHA,Bedmutha Industries Limited
NSE/CORDSCABLE,Cords Cable Industries Limited
NSE/DEEPIND,Deep Industries Limited
NSE/DRREDDY,Dr. Reddy's Laboratories Limited
NSE/GOLDTECH,Goldstone Technologies Limited
NSE/HDFCMFGETF,HDFC Mutual Fund-HDFC Gold Exchange Traded Fund
NSE/HINDUJAVEN,Hinduja Ventures Limited
NSE/ICRA,ICRA Limited
NSE/INDIANB,Indian Bank
NSE/INOXLEISUR,INOX Leisure Limited
